Result	Lemma	Gender	Case	Tense	Voice	Mood	Person	Number	Gloss	Part	Chapter	Adverb/particle Type	Reference	Sense	Pronoun Type
Αἰγύπτου	Αἴγυπτος	feminine	genitive	-	-	-	-	singular	Egypt	noun	44	-	Mt 2:15,Ac 7:10,Ac 7:40,Ac 13:17,Heb 3:16,Heb 8:9,Heb 11:26,Jud 5	-	-
Αἰγύπτῳ	Αἴγυπτος	feminine	dative	-	-	-	-	singular	Egypt	noun	44	-	Mt 2:19,Ac 7:17,Ac 7:34,Ac 7:36	-	-
Αἴγυπτον	Αἴγυπτος	feminine	accusative	-	-	-	-	singular	Egypt	noun	44	-	Mt 2:13,Mt 2:14,Ac 2:10,Ac 7:9,Ac 7:10,Ac 7:11,Ac 7:12,Ac 7:15,Ac 7:18,Ac 7:34,Ac 7:39,Heb 11:27	-	-
Αἴγυπτος	Αἴγυπτος	feminine	nominative	-	-	-	-	singular	Egypt	noun	44	-	Re 11:8	-	-
Βαβυλὼν	Βαβυλών	feminine	nominative	-	-	-	-	singular	Babylon	noun	55	-	Re 14:8,Re 16:19,Re 17:5,Re 18:2,Re 18:21	-	-
Βαβυλὼν	Βαβυλών	feminine	vocative, nominative	-	-	-	-	singular	Babylon	noun	55	-	Re 18:10	-	-
Βαβυλῶνι	Βαβυλών	feminine	dative	-	-	-	-	singular	Babylon	noun	55	-	1 Pe 5:13	-	-
Βαβυλῶνος	Βαβυλών	feminine	genitive	-	-	-	-	singular	Babylon	noun	55	-	Mt 1:11,Mt 1:12,Mt 1:17,Mt 1:17,Ac 7:43	-	-
Βαραββᾶν	Βαραββᾶς	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 27:16,Mt 27:17,Mt 27:20,Mt 27:21,Mt 27:26,Mk 15:11,Mk 15:15,Lk 23:18,Jn 18:40	-	-
Βαραββᾶς	Βαραββᾶς	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Mk 15:7,Jn 18:40	-	-
Βαρναβᾶ	Βαρναβᾶς	masculine	genitive	-	-	-	-	singular	Barnabas	noun	44	-	Ac 11:30,Ac 15:12,Ga 2:1,Col 4:10	-	-
Βαρναβᾶν	Βαρναβᾶς	masculine	accusative	-	-	-	-	singular	Barnabas	noun	44	-	Ac 11:22,Ac 13:2,Ac 13:7,Ac 13:50,Ac 14:12,Ac 15:2,Ac 15:36,Ac 15:39	-	-
